,taxon,structural_zero (Microcompartment = Endosphere),structural_zero (Microcompartment = Phyllosphere),structural_zero (Microcompartment = Rhizosphere)
7092,ASV9053,TRUE,FALSE,TRUE
7093,ASV9054,TRUE,FALSE,TRUE
7094,ASV9056,TRUE,TRUE,FALSE
7095,ASV9058,TRUE,TRUE,FALSE
7096,ASV9059,TRUE,TRUE,FALSE
7097,ASV9060,TRUE,FALSE,FALSE
7098,ASV9061,TRUE,TRUE,FALSE
7099,ASV9062,TRUE,FALSE,TRUE
7100,ASV9063,TRUE,FALSE,TRUE
7101,ASV9065,TRUE,FALSE,TRUE
7102,ASV9068,TRUE,FALSE,TRUE
7103,ASV9069,FALSE,TRUE,TRUE
7104,ASV9070,FALSE,TRUE,TRUE
7105,ASV9071,FALSE,TRUE,TRUE
7106,ASV9072,FALSE,TRUE,TRUE
7107,ASV9079,TRUE,TRUE,FALSE
7108,ASV9080,TRUE,TRUE,FALSE
7109,ASV9081,FALSE,TRUE,FALSE
7110,ASV9082,TRUE,FALSE,FALSE
7111,ASV9084,TRUE,TRUE,FALSE
7112,ASV9085,TRUE,TRUE,FALSE
7113,ASV9086,TRUE,FALSE,FALSE
7114,ASV9087,TRUE,TRUE,FALSE
7115,ASV9088,TRUE,TRUE,FALSE
7116,ASV9089,TRUE,TRUE,FALSE
7117,ASV9090,TRUE,TRUE,FALSE
7118,ASV9091,TRUE,FALSE,FALSE
7119,ASV9093,TRUE,TRUE,FALSE
7120,ASV9094,TRUE,TRUE,FALSE
7121,ASV9095,TRUE,TRUE,FALSE
7122,ASV9096,TRUE,TRUE,FALSE
7123,ASV9097,TRUE,TRUE,FALSE
7124,ASV9099,TRUE,TRUE,FALSE
7125,ASV9100,FALSE,TRUE,TRUE
7126,ASV9102,FALSE,TRUE,TRUE
7127,ASV9103,FALSE,TRUE,TRUE
7128,ASV9105,FALSE,TRUE,TRUE
7129,ASV9106,FALSE,TRUE,TRUE
7130,ASV9107,TRUE,FALSE,TRUE
7131,ASV9110,TRUE,FALSE,TRUE
7132,ASV9111,TRUE,FALSE,TRUE
7133,ASV9113,TRUE,FALSE,FALSE
7134,ASV9114,TRUE,FALSE,TRUE
7135,ASV9115,TRUE,FALSE,TRUE
7136,ASV9117,TRUE,FALSE,TRUE
7137,ASV9118,TRUE,FALSE,TRUE
7138,ASV9120,TRUE,FALSE,TRUE
7139,ASV9121,TRUE,FALSE,TRUE
7140,ASV9122,TRUE,FALSE,TRUE
7141,ASV9123,TRUE,FALSE,TRUE
7142,ASV9124,TRUE,FALSE,TRUE
7143,ASV9125,TRUE,FALSE,TRUE
7144,ASV9126,TRUE,FALSE,TRUE
7145,ASV9127,TRUE,FALSE,TRUE
7146,ASV9128,TRUE,FALSE,TRUE
7147,ASV9130,TRUE,FALSE,TRUE
7148,ASV9131,TRUE,FALSE,FALSE
7149,ASV9132,TRUE,TRUE,FALSE
7150,ASV9133,TRUE,TRUE,FALSE
7151,ASV9135,TRUE,TRUE,FALSE
7152,ASV9136,TRUE,TRUE,FALSE
7153,ASV9137,FALSE,TRUE,FALSE
7154,ASV9140,FALSE,TRUE,FALSE
7155,ASV9141,TRUE,TRUE,FALSE
7156,ASV9142,TRUE,TRUE,FALSE
7157,ASV9144,TRUE,TRUE,FALSE
7158,ASV9145,TRUE,TRUE,FALSE
7159,ASV9146,TRUE,TRUE,FALSE
7160,ASV9147,TRUE,TRUE,FALSE
7161,ASV9148,TRUE,TRUE,FALSE
7162,ASV9149,TRUE,TRUE,FALSE
7163,ASV9151,TRUE,FALSE,TRUE
7164,ASV9153,TRUE,FALSE,TRUE
7165,ASV9155,TRUE,FALSE,TRUE
7166,ASV9159,TRUE,FALSE,TRUE
7167,ASV9160,TRUE,FALSE,TRUE
7168,ASV9161,TRUE,FALSE,TRUE
7169,ASV9162,TRUE,FALSE,TRUE
7170,ASV9163,TRUE,FALSE,TRUE
7171,ASV9164,TRUE,FALSE,TRUE
7172,ASV9166,TRUE,FALSE,TRUE
7173,ASV9167,TRUE,FALSE,TRUE
7174,ASV9169,TRUE,FALSE,TRUE
7175,ASV9170,TRUE,FALSE,TRUE
7176,ASV9171,TRUE,FALSE,TRUE
7177,ASV9172,TRUE,FALSE,TRUE
7178,ASV9173,TRUE,FALSE,TRUE
7179,ASV9175,TRUE,FALSE,TRUE
7180,ASV9176,TRUE,FALSE,TRUE
7181,ASV9177,TRUE,FALSE,TRUE
7182,ASV9178,TRUE,FALSE,TRUE
7183,ASV9179,TRUE,FALSE,TRUE
7184,ASV9180,TRUE,FALSE,TRUE
7185,ASV9181,TRUE,FALSE,TRUE
7186,ASV9182,TRUE,TRUE,FALSE
7187,ASV9183,TRUE,FALSE,TRUE
7188,ASV9184,TRUE,FALSE,TRUE
7189,ASV9185,TRUE,FALSE,TRUE
7190,ASV9186,TRUE,TRUE,FALSE
7191,ASV9187,TRUE,TRUE,FALSE
7192,ASV9188,TRUE,FALSE,TRUE
7193,ASV9189,FALSE,TRUE,TRUE
7194,ASV9190,FALSE,TRUE,TRUE
7195,ASV9192,FALSE,TRUE,TRUE
7196,ASV9199,TRUE,TRUE,FALSE
7197,ASV9202,TRUE,TRUE,FALSE
7198,ASV9203,TRUE,TRUE,FALSE
7199,ASV9204,TRUE,TRUE,FALSE
7200,ASV9205,TRUE,TRUE,FALSE
7201,ASV9206,TRUE,TRUE,FALSE
7202,ASV9209,TRUE,TRUE,FALSE
