,taxon,W,p_val,q_val,diff_abn,passed_ss
272,ASV540,NA,1,1,FALSE,FALSE
273,ASV541,326.710.327.458.637,0.219378067,1,FALSE,TRUE
274,ASV545,748.625.601.244.883,0.029414129,1,FALSE,TRUE
275,ASV548,197.815.997.344.483,0.001015637,0.632394314,FALSE,TRUE
276,ASV553,623.092.297.040.653,0.034978628,1,FALSE,TRUE
277,ASV557,191.976.683.461.742,0.432848623,1,FALSE,TRUE
278,ASV558,152.942.382.366.685,0.581118738,1,FALSE,FALSE
279,ASV562,659.075.359.916.627,0.006639023,1,FALSE,FALSE
280,ASV563,897.425.859.181.738,0.018069235,1,FALSE,FALSE
281,ASV565,NA,1,1,FALSE,TRUE
282,ASV570,141.244.208.449.433,0.003350532,1,FALSE,TRUE
283,ASV571,112.345.237.804.246,0.743051894,1,FALSE,FALSE
284,ASV572,0.703212958,0.971416872,1,FALSE,TRUE
285,ASV573,126.310.230.461.481,0.009515935,1,FALSE,FALSE
286,ASV575,219.855.001.469.671,0.31461226,1,FALSE,TRUE
287,ASV577,36.636.336.543.205,0.000867188,0.545461225,FALSE,FALSE
288,ASV583,130.595.493.672.523,0.123515402,1,FALSE,TRUE
289,ASV584,280.358.592.927.156,0.00027218,0.178550011,FALSE,FALSE
290,ASV585,NA,1,1,FALSE,FALSE
291,ASV587,18.423.271.827.956,0.001315957,0.810629306,FALSE,FALSE
292,ASV588,42.882.631.448.459,0.108496527,1,FALSE,TRUE
293,ASV590,960.959.955.628.707,0.014924115,1,FALSE,TRUE
294,ASV592,618.554.052.304.794,0.03169249,1,FALSE,FALSE
295,ASV593,122.245.552.681.362,0.023756068,1,FALSE,FALSE
296,ASV596,110.732.541.720.686,0.029118571,1,FALSE,FALSE
297,ASV600,NA,1,1,FALSE,FALSE
298,ASV602,648.541.817.422.095,3.76E+08,0.002641638,TRUE,FALSE
299,ASV604,NA,1,1,FALSE,FALSE
300,ASV606,102.412.698.896.175,0.007599312,1,FALSE,TRUE
301,ASV608,578.696.656.364.138,0.065721817,1,FALSE,FALSE
302,ASV610,429.842.718.728.944,0.000105065,0.070603988,FALSE,TRUE
303,ASV615,105.756.797.355.521,0.005483949,1,FALSE,TRUE
304,ASV616,278.558.180.217.294,0.000163237,0.108879077,FALSE,TRUE
305,ASV618,503.312.104.107.777,0.056099744,1,FALSE,TRUE
306,ASV620,364.387.635.561.744,2.21E+08,0.001555404,TRUE,TRUE
307,ASV623,NA,1,1,FALSE,FALSE
308,ASV626,14.896.393.997.942,0.002790884,1,FALSE,FALSE
309,ASV627,212.775.183.435.247,0.002118682,1,FALSE,FALSE
310,ASV629,4.696.520.509.083,0.142256985,1,FALSE,FALSE
311,ASV630,NA,1,1,FALSE,FALSE
312,ASV631,211.188.580.594.343,0.432696771,1,FALSE,TRUE
313,ASV633,NA,1,1,FALSE,FALSE
314,ASV635,199.536.406.634.377,0.002567629,1,FALSE,TRUE
315,ASV638,0.455988772,0.707255563,1,FALSE,TRUE
316,ASV645,0.120255064,0.22408556,1,FALSE,TRUE
317,ASV653,150.650.660.172.105,0.003875402,1,FALSE,TRUE
318,ASV654,226.201.090.626.003,0.309453596,1,FALSE,FALSE
319,ASV655,596.199.461.724.753,0.000219915,0.145364095,FALSE,TRUE
320,ASV658,205.847.542.647.468,0.396207996,1,FALSE,FALSE
321,ASV659,105.585.080.790.814,0.021664968,1,FALSE,TRUE
322,ASV660,130.094.884.705.698,0.701697542,1,FALSE,TRUE
323,ASV661,185.167.463.844.832,0.005420807,1,FALSE,FALSE
324,ASV662,626.702.535.630.087,0.046077767,1,FALSE,FALSE
325,ASV664,311.878.174.104.803,0.235721325,1,FALSE,FALSE
326,ASV667,304.717.464.693.811,0.000362591,0.235321447,FALSE,FALSE
327,ASV669,136.989.792.557.763,0.003717703,1,FALSE,FALSE
328,ASV673,153.598.780.770.437,0.523991027,1,FALSE,TRUE
329,ASV683,0.466080519,0.708772382,1,FALSE,TRUE
330,ASV685,0.53425518,0.792803987,1,FALSE,TRUE
331,ASV687,0.47439128,0.718197907,1,FALSE,FALSE
332,ASV691,NA,1,1,FALSE,FALSE
333,ASV692,217.618.434.987.145,0.368188678,1,FALSE,FALSE
334,ASV693,239.919.133.492.842,0.343089641,1,FALSE,FALSE
335,ASV694,707.001.244.197.645,0.034093966,1,FALSE,FALSE
336,ASV695,NA,1,1,FALSE,FALSE
337,ASV696,NA,1,1,FALSE,FALSE
338,ASV705,202.015.863.559.139,0.008048955,1,FALSE,FALSE
339,ASV706,25.961.745.082.941,0.000219661,0.145364095,FALSE,FALSE
340,ASV709,477.494.589.437.104,0.070033883,1,FALSE,TRUE
341,ASV710,108.676.707.807.361,0.010478478,1,FALSE,FALSE
342,ASV713,162.311.791.755.955,0.024069134,1,FALSE,FALSE
343,ASV715,203.640.496.326.312,0.65867367,1,FALSE,TRUE
344,ASV724,566.986.441.468.892,0.045194492,1,FALSE,TRUE
345,ASV725,298.199.372.715.914,0.202958983,1,FALSE,TRUE
346,ASV729,681.923.646.225.137,0.037366594,1,FALSE,FALSE
347,ASV730,139.240.093.118.133,0.018079319,1,FALSE,FALSE
348,ASV731,NA,1,1,FALSE,FALSE
349,ASV732,903.074.465.607.387,0.017757958,1,FALSE,FALSE
350,ASV736,33.729.272.785.261,0.000252671,0.166510505,FALSE,FALSE
351,ASV738,391.800.985.860.168,0.103812468,1,FALSE,FALSE
352,ASV739,0.686260804,0.92195824,1,FALSE,FALSE
353,ASV746,0.563518957,0.827447879,1,FALSE,TRUE
354,ASV753,NA,1,1,FALSE,FALSE
355,ASV755,263.012.884.449.817,0.004439665,1,FALSE,TRUE
356,ASV757,745.517.007.919.362,0.089485217,1,FALSE,TRUE
