,taxon,structural_zero (Plant.condition = Diseased),structural_zero (Plant.condition = Healthy)
3736,ASV4591,FALSE,TRUE
3737,ASV4592,FALSE,TRUE
3738,ASV4593,FALSE,FALSE
3739,ASV4594,FALSE,TRUE
3740,ASV4595,FALSE,FALSE
3741,ASV4596,TRUE,FALSE
3742,ASV4597,FALSE,TRUE
3743,ASV4598,TRUE,FALSE
3744,ASV4599,FALSE,FALSE
3745,ASV4600,TRUE,FALSE
3746,ASV4602,FALSE,FALSE
3747,ASV4603,FALSE,FALSE
3748,ASV4604,FALSE,FALSE
3749,ASV4606,TRUE,FALSE
3750,ASV4607,FALSE,FALSE
3751,ASV4608,FALSE,FALSE
3752,ASV4609,FALSE,FALSE
3753,ASV4611,FALSE,FALSE
3754,ASV4613,FALSE,FALSE
3755,ASV4614,FALSE,FALSE
3756,ASV4615,FALSE,TRUE
3757,ASV4616,FALSE,TRUE
3758,ASV4617,FALSE,FALSE
3759,ASV4618,FALSE,TRUE
3760,ASV4620,TRUE,FALSE
3761,ASV4621,FALSE,TRUE
3762,ASV4622,TRUE,FALSE
3763,ASV4623,FALSE,FALSE
3764,ASV4624,FALSE,FALSE
3765,ASV4628,FALSE,FALSE
3766,ASV4629,TRUE,FALSE
3767,ASV4631,FALSE,FALSE
3768,ASV4632,FALSE,FALSE
3769,ASV4633,FALSE,FALSE
3770,ASV4635,TRUE,FALSE
3771,ASV4637,FALSE,FALSE
3772,ASV4638,FALSE,FALSE
3773,ASV4639,FALSE,TRUE
3774,ASV4640,FALSE,TRUE
3775,ASV4641,FALSE,TRUE
3776,ASV4642,FALSE,TRUE
3777,ASV4643,FALSE,FALSE
3778,ASV4644,FALSE,FALSE
3779,ASV4645,FALSE,TRUE
3780,ASV4646,FALSE,TRUE
3781,ASV4647,FALSE,FALSE
3782,ASV4648,FALSE,FALSE
3783,ASV4649,FALSE,FALSE
3784,ASV4651,FALSE,FALSE
3785,ASV4652,FALSE,FALSE
3786,ASV4653,FALSE,FALSE
3787,ASV4654,FALSE,FALSE
3788,ASV4655,FALSE,FALSE
3789,ASV4656,TRUE,FALSE
3790,ASV4657,FALSE,FALSE
3791,ASV4658,TRUE,FALSE
3792,ASV4659,FALSE,FALSE
3793,ASV4660,FALSE,FALSE
3794,ASV4661,FALSE,FALSE
3795,ASV4662,FALSE,FALSE
3796,ASV4663,FALSE,FALSE
3797,ASV4664,FALSE,TRUE
3798,ASV4665,FALSE,TRUE
3799,ASV4666,FALSE,TRUE
3800,ASV4667,FALSE,TRUE
3801,ASV4668,FALSE,TRUE
3802,ASV4669,FALSE,FALSE
3803,ASV4670,TRUE,FALSE
3804,ASV4671,TRUE,FALSE
3805,ASV4672,FALSE,TRUE
3806,ASV4673,TRUE,FALSE
3807,ASV4675,TRUE,FALSE
3808,ASV4676,FALSE,FALSE
3809,ASV4677,FALSE,FALSE
3810,ASV4680,FALSE,FALSE
3811,ASV4681,FALSE,FALSE
3812,ASV4682,TRUE,FALSE
3813,ASV4683,FALSE,FALSE
3814,ASV4684,FALSE,FALSE
3815,ASV4685,TRUE,FALSE
3816,ASV4686,FALSE,FALSE
3817,ASV4687,FALSE,FALSE
3818,ASV4688,FALSE,FALSE
3819,ASV4690,TRUE,FALSE
3820,ASV4691,FALSE,FALSE
3821,ASV4692,FALSE,FALSE
3822,ASV4694,FALSE,FALSE
3823,ASV4695,FALSE,FALSE
3824,ASV4696,FALSE,FALSE
3825,ASV4697,FALSE,FALSE
3826,ASV4698,FALSE,TRUE
3827,ASV4699,FALSE,TRUE
3828,ASV4700,FALSE,TRUE
3829,ASV4701,FALSE,TRUE
3830,ASV4702,FALSE,TRUE
3831,ASV4703,FALSE,TRUE
3832,ASV4704,FALSE,TRUE
3833,ASV4705,FALSE,TRUE
3834,ASV4706,FALSE,TRUE
3835,ASV4707,FALSE,TRUE
3836,ASV4708,TRUE,FALSE
3837,ASV4709,TRUE,FALSE
3838,ASV4710,FALSE,TRUE
3839,ASV4712,FALSE,FALSE
3840,ASV4713,FALSE,FALSE
