taxon,lfc_(Intercept),lfc_MicrocompartmentPhyllosphere,lfc_MicrocompartmentRhizosphere,lfc_SoilOriginSoilB,lfc_PlantConditionHealthy,se_(Intercept),se_MicrocompartmentPhyllosphere,se_MicrocompartmentRhizosphere,se_SoilOriginSoilB,se_PlantConditionHealthy,W_(Intercept),W_MicrocompartmentPhyllosphere,W_MicrocompartmentRhizosphere,W_SoilOriginSoilB,W_PlantConditionHealthy,p_(Intercept),p_MicrocompartmentPhyllosphere,p_MicrocompartmentRhizosphere,p_SoilOriginSoilB,p_PlantConditionHealthy,q_(Intercept),q_MicrocompartmentPhyllosphere,q_MicrocompartmentRhizosphere,q_SoilOriginSoilB,q_PlantConditionHealthy,diff_(Intercept),diff_MicrocompartmentPhyllosphere,diff_MicrocompartmentRhizosphere,diff_SoilOriginSoilB,diff_PlantConditionHealthy,passed_ss_(Intercept),passed_ss_MicrocompartmentPhyllosphere,passed_ss_MicrocompartmentRhizosphere,passed_ss_SoilOriginSoilB,passed_ss_PlantConditionHealthy,
31,ASV51,0.090319416,-103.462.812.070.159,-0.700793152,0.191139604,0.122033409,0.319775506,0.359875962,0.393276387,0.211077251,0.201182533,0.282446324,-287.495.756.465.242,-178.193.549.098.157,0.905543366,0.606580541,0.780127478,0.008554692,0.087968934,0.374566461,0.550070381,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE
32,ASV54,370.019.060.382.168,-426.466.964.752.151,-185.752.429.063.825,-0.206658693,-0.695446312,0.282441228,0.328858229,0.365109646,0.16853559,0.1582884,131.007.453.277.709,-129.681.098.721.802,-508.757.933.849.146,-12.262.020.956.818,-439.353.934.506.402,4.70E+06,5.22E+06,0.000350795,0.245724686,0.001074663,3.46E+09,3.85E+09,0.25467699,1,0.77160804,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
33,ASV55,-0.475557916,0.330111241,0.078837516,-0.042995522,-0.005558008,0.237933804,0.277679083,0.300506987,0.13948086,0.129065808,-199.869.841.201.359,118.882.285.661.254,0.262348362,-0.308253919,-0.043063365,0.054475169,0.243536647,0.794788458,0.759951,0.965927209,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
34,ASV56,0.081798059,-0.003861687,-0.39253921,-0.191063837,-0.245888426,0.249631592,0.293419424,0.313556345,0.157295622,0.146964515,0.327675109,-0.013160981,-125.189.369.369.769,-121.467.994.542.632,-16.731.142.619.683,0.745511229,0.989589486,0.220612134,0.234286408,0.105060164,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
35,ASV58,-0.181266994,-117.759.959.200.737,0.302424846,0.35039012,0.096381149,0.293107582,0.300561055,0.345844506,0.171275679,0.161050524,-0.618431613,-391.800.458.415.876,0.874453232,204.576.692.782.457,0.598452875,0.541473363,0.000549563,0.38958371,0.050633946,0.554525573,1,0.37864865,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
36,ASV60,-0.284152941,-0.502861773,-0.419433037,0.344662837,0.284509888,0.27462252,0.317836463,0.361545735,0.203548399,0.193592624,-103.470.371.016.075,-158.213.997.070.963,-116.011.059.346.493,169.327.215.914.701,146.963.185.553.211,0.309661634,0.124849123,0.255800511,0.101502416,0.152809159,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
37,ASV61,0.40554424,-437.576.562.803.998,0.303028533,NA,NA,0.292493082,0.341476123,0.374526714,NA,NA,138.650.882.741.142,-12.814.265.282.528,0.809097246,NA,NA,0.214913224,1.39E+09,0.449345098,1,1,1,0.010072719,1,1,1,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE
38,ASV63,0.166001046,-0.268922587,0.408506286,-0.567228696,-0.246105611,0.280667465,0.319240084,0.372180845,0.200871857,0.190894041,0.591450976,-0.842383523,10.976.015.871.845,-282.383.358.492.564,-128.922.626.699.837,0.559748538,0.40788989,0.283269074,0.009393706,0.209607015,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
39,ASV65,0.515687274,-399.931.073.140.122,-0.038907018,NA,NA,0.292469354,0.34145609,0.375777751,NA,NA,176.321.815.462.253,-117.125.183.996.042,-0.103537312,NA,NA,0.128322587,2.34E+09,0.920910558,1,1,1,0.016823121,1,1,1,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE
40,ASV66,0.014443491,-0.906849066,-0.654114964,0.262408599,0.105241373,0.328045642,0.366668584,0.403019767,0.224766888,0.214978975,0.044028907,-247.321.178.871.158,-162.303.444.343.132,11.674.700.022.477,0.489542631,0.965231155,0.02053943,0.117126314,0.254035311,0.628725658,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE
