"taxon" "lfc_(Intercept)" "lfc_Soil.originSoilB" "lfc_Plant.conditionHealthy" "se_(Intercept)" "se_Soil.originSoilB" "se_Plant.conditionHealthy" "W_(Intercept)" "W_Soil.originSoilB" "W_Plant.conditionHealthy" "p_(Intercept)" "p_Soil.originSoilB" "p_Plant.conditionHealthy" "q_(Intercept)" "q_Soil.originSoilB" "q_Plant.conditionHealthy" "diff_(Intercept)" "diff_Soil.originSoilB" "diff_Plant.conditionHealthy" "passed_ss_(Intercept)" "passed_ss_Soil.originSoilB" "passed_ss_Plant.conditionHealthy" "diff_robust_(Intercept)" "diff_robust_Soil.originSoilB" "diff_robust_Plant.conditionHealthy"
"608" "ASV5172" NA NA NA NA NA NA NA NA NA 1 1 1 1 1 1 FALSE FALSE FALSE TRUE TRUE TRUE FALSE FALSE FALSE
"609" "ASV5182" -0.564970401870085 1.44331913730561 -0.276859567294958 0.11433966086605 0.233488233128819 0.21029361933892 -4.94115862851781 6.18154978503482 -1.31653812495736 0.127123156576194 0.102102536012532 0.413545942680221 1 1 1 FALSE FALSE FALSE TRUE TRUE TRUE FALSE FALSE FALSE
"610" "ASV5364" NA NA NA NA NA NA NA NA NA 1 1 1 1 1 1 FALSE FALSE FALSE TRUE TRUE TRUE FALSE FALSE FALSE
"611" "ASV5380" 0.177531608435237 -0.77985102953831 NA 0.116422027500803 0.237797953813597 NA 1.52489706841785 -3.27946904938304 NA 1 1 1 1 1 1 FALSE FALSE FALSE TRUE TRUE TRUE FALSE FALSE FALSE
"612" "ASV5404" NA NA NA NA NA NA NA NA NA 1 1 1 1 1 1 FALSE FALSE FALSE TRUE TRUE TRUE FALSE FALSE FALSE
"613" "ASV5502" NA NA NA NA NA NA NA NA NA 1 1 1 1 1 1 FALSE FALSE FALSE TRUE TRUE TRUE FALSE FALSE FALSE
"614" "ASV5555" -0.0475571955343406 0.00139082043082406 NA 0.116422027500803 0.237797953813597 NA -0.408489669482972 0.00584874852167267 NA 1 1 1 1 1 1 FALSE FALSE FALSE TRUE TRUE TRUE FALSE FALSE FALSE
"615" "ASV5576" -0.181674453005799 -0.437868857870819 0.5672336752731 0.114472491292641 0.233763414961401 0.210570277773839 -1.58705773722843 -1.87312825637459 2.69379744031269 1 1 1 1 1 1 FALSE FALSE FALSE TRUE TRUE TRUE FALSE FALSE FALSE
"616" "ASV5583" 0.420949790514578 -0.665821679455584 -0.332166302009284 0.114087463787799 0.232965656046716 0.209768303307081 3.68971117893844 -2.85802504435276 -1.58349138917821 0.168491570183093 0.214272573593682 0.35858958014487 1 1 1 FALSE FALSE FALSE TRUE TRUE TRUE FALSE FALSE FALSE
"617" "ASV5601" -0.0374415471010951 -0.430198178978343 NA 0.116422027500803 0.237797953813597 NA -0.321601915933278 -1.80909117206098 NA 1 1 1 1 1 1 FALSE FALSE FALSE TRUE TRUE TRUE FALSE FALSE FALSE
"618" "ASV5625" NA NA NA NA NA NA NA NA NA 1 1 1 1 1 1 FALSE FALSE FALSE TRUE TRUE TRUE FALSE FALSE FALSE
"619" "ASV5670" NA NA NA NA NA NA NA NA NA 1 1 1 1 1 1 FALSE FALSE FALSE TRUE TRUE TRUE FALSE FALSE FALSE
"620" "ASV5684" -0.223526984458862 0.0222661562498887 NA 0.116422027500803 0.237797953813597 NA -1.91997158318961 0.0936347680575188 NA 1 1 1 1 1 1 FALSE FALSE FALSE TRUE TRUE TRUE FALSE FALSE FALSE
"621" "ASV5776" NA NA NA NA NA NA NA NA NA 1 1 1 1 1 1 FALSE FALSE FALSE TRUE TRUE TRUE FALSE FALSE FALSE
"622" "ASV5870" NA NA NA NA NA NA NA NA NA 1 1 1 1 1 1 FALSE FALSE FALSE TRUE TRUE TRUE FALSE FALSE FALSE
"623" "ASV5973" NA NA NA NA NA NA NA NA NA 1 1 1 1 1 1 FALSE FALSE FALSE TRUE TRUE TRUE FALSE FALSE FALSE
"624" "ASV6170" -0.103137420008517 -0.853808572339898 0.307438570705775 0.153789504053492 0.24096286692123 0.21781591284906 -0.670640175630214 -3.5433201108908 1.41146056173967 0.623917855108262 0.175113229104044 0.392411515897671 1 1 1 FALSE FALSE FALSE TRUE TRUE TRUE FALSE FALSE FALSE
"625" "ASV6305" -0.35562782503846 0.286467837409085 NA 0.116422027500803 0.237797953813597 NA -3.05464380472163 1.20466905965742 NA 1 1 1 1 1 1 FALSE FALSE FALSE TRUE TRUE TRUE FALSE FALSE FALSE
"626" "ASV6460" NA NA NA NA NA NA NA NA NA 1 1 1 1 1 1 FALSE FALSE FALSE TRUE TRUE TRUE FALSE FALSE FALSE
"627" "ASV6583" NA NA NA NA NA NA NA NA NA 1 1 1 1 1 1 FALSE FALSE FALSE TRUE TRUE TRUE FALSE FALSE FALSE
"628" "ASV6698" -0.125965665582513 -0.170887450742641 0.101612811810023 0.116294763847064 0.237534820034437 0.214364161090463 -1.08315853109403 -0.719420633648012 0.474019590276294 0.474599978853814 0.602977563810672 0.718201463399431 1 1 1 FALSE FALSE FALSE TRUE TRUE TRUE FALSE FALSE FALSE
"629" "ASV6732" NA NA NA NA NA NA NA NA NA 1 1 1 1 1 1 FALSE FALSE FALSE TRUE TRUE TRUE FALSE FALSE FALSE
"630" "ASV6762" NA NA NA NA NA NA NA NA NA 1 1 1 1 1 1 FALSE FALSE FALSE TRUE TRUE TRUE FALSE FALSE FALSE
"631" "ASV7234" NA NA NA NA NA NA NA NA NA 1 1 1 1 1 1 FALSE FALSE FALSE TRUE TRUE TRUE FALSE FALSE FALSE
"632" "ASV7266" -0.884448158452832 1.16487523822575 NA 0.116422027500803 0.237797953813597 NA -7.59691423898909 4.89859235348534 NA 1 1 1 1 1 1 FALSE FALSE FALSE TRUE TRUE TRUE FALSE FALSE FALSE
"633" "ASV7558" NA NA NA NA NA NA NA NA NA 1 1 1 1 1 1 FALSE FALSE FALSE TRUE TRUE TRUE FALSE FALSE FALSE
"634" "ASV7666" -0.704599904395256 1.67089661810229 NA 0.137926714671591 0.239751985192631 NA -5.10850929838311 6.96927125237272 NA 0.123063348458367 0.0907274115601363 1 1 1 1 FALSE FALSE FALSE TRUE TRUE TRUE FALSE FALSE FALSE
"635" "ASV7821" 0.176603208488482 -0.550484018672956 NA 0.125057895393898 0.236324301257141 NA 1.41217160205863 -2.32935849485061 NA 0.392260286908983 0.258155340387935 1 1 1 1 FALSE FALSE FALSE TRUE TRUE TRUE FALSE FALSE FALSE
"636" "ASV8585" NA NA NA NA NA NA NA NA NA 1 1 1 1 1 1 FALSE FALSE FALSE TRUE TRUE TRUE FALSE FALSE FALSE
"637" "ASV8948" NA NA NA NA NA NA NA NA NA 1 1 1 1 1 1 FALSE FALSE FALSE TRUE TRUE TRUE FALSE FALSE FALSE
"638" "ASV9330" -0.491677657627831 1.23864179621582 NA 0.116422027500803 0.237797953813597 NA -4.22323565550719 5.20879921946998 NA 1 1 1 1 1 1 FALSE FALSE FALSE TRUE TRUE TRUE FALSE FALSE FALSE
"639" "ASV9911" NA NA NA NA NA NA NA NA NA 1 1 1 1 1 1 FALSE FALSE FALSE TRUE TRUE TRUE FALSE FALSE FALSE
"640" "ASV9960" -0.611895963808678 1.14044845793442 NA 0.116422027500803 0.237797953813597 NA -5.25584356280392 4.79587161977172 NA 1 1 1 1 1 1 FALSE FALSE FALSE TRUE TRUE TRUE FALSE FALSE FALSE
"641" "ASV10060" 0.738373549373545 -1.10252925519561 NA 0.116422027500803 0.237797953813597 NA 6.34221517374322 -4.63641186778189 NA 1 1 1 1 1 1 FALSE FALSE FALSE TRUE TRUE TRUE FALSE FALSE FALSE
"642" "ASV10206" NA NA NA NA NA NA NA NA NA 1 1 1 1 1 1 FALSE FALSE FALSE TRUE TRUE TRUE FALSE FALSE FALSE
"643" "ASV10589" -1.1581370912551 2.01588993890519 NA 0.116422027500803 0.237797953813597 NA -9.94774885918479 8.47732247723791 NA 1 1 1 1 1 1 FALSE FALSE FALSE TRUE TRUE TRUE FALSE FALSE FALSE
"644" "ASV10756" NA NA NA NA NA NA NA NA NA 1 1 1 1 1 1 FALSE FALSE FALSE TRUE TRUE TRUE FALSE FALSE FALSE
"645" "ASV10941" -0.51935210314967 0.434683127619423 NA 0.116422027500803 0.237797953813597 NA -4.46094364012074 1.82795150525205 NA 1 1 1 1 1 1 FALSE FALSE FALSE TRUE TRUE TRUE FALSE FALSE FALSE
"646" "ASV11036" NA NA NA NA NA NA NA NA NA 1 1 1 1 1 1 FALSE FALSE FALSE TRUE TRUE TRUE FALSE FALSE FALSE
"647" "ASV11066" NA NA NA NA NA NA NA NA NA 1 1 1 1 1 1 FALSE FALSE FALSE TRUE TRUE TRUE FALSE FALSE FALSE
"648" "ASV11132" 1.24295311777686 -2.44533703455219 NA 0.116422027500803 0.237797953813597 NA 10.6762710155368 -10.2832551556311 NA 1 1 1 1 1 1 FALSE FALSE FALSE TRUE TRUE TRUE FALSE FALSE FALSE
"649" "ASV12253" NA NA NA NA NA NA NA NA NA 1 1 1 1 1 1 FALSE FALSE FALSE TRUE TRUE TRUE FALSE FALSE FALSE
"650" "ASV12367" -0.862762086276134 1.12150309387235 NA 0.116422027500803 0.237797953813597 NA -7.41064302689782 4.71620161522275 NA 1 1 1 1 1 1 FALSE FALSE FALSE TRUE TRUE TRUE FALSE FALSE FALSE
"651" "ASV12733" NA NA NA NA NA NA NA NA NA 1 1 1 1 1 1 FALSE FALSE FALSE TRUE TRUE TRUE FALSE FALSE FALSE
"652" "ASV13913" -0.0711278868702393 0.0589123040575381 NA 0.116422027500803 0.237797953813597 NA -0.610948704442968 0.247741004969781 NA 1 1 1 1 1 1 FALSE FALSE FALSE TRUE TRUE TRUE FALSE FALSE FALSE
"653" "ASV14530" 0.161685017691191 -0.407204403443696 NA 0.116422027500803 0.237797953813597 NA 1.38878373072549 -1.7123965825328 NA 1 1 1 1 1 1 FALSE FALSE FALSE TRUE TRUE TRUE FALSE FALSE FALSE
"654" "ASV15153" -0.0645434887395122 -0.295700835188811 NA 0.116422027500803 0.237797953813597 NA -0.554392412888247 -1.24349612957815 NA 1 1 1 1 1 1 FALSE FALSE FALSE TRUE TRUE TRUE FALSE FALSE FALSE
