"","plant-b1","plant-b2","plant-b3","plant-b4","plant-d1","plant-d2","plant-d3","plant-d4","plant-f1","plant-f2","plant-f3","plant-f4","plant-k1","plant-k2","plant-k3","plant-k4","plant-m1","plant-m2","plant-m3","plant-m4","plant-p1","plant-p2","plant-p3","plant-p4","plant-r1","plant-r2","plant-r3","plant-r4","plant-s1","plant-s2","plant-s3","plant-s4","plant-t1","plant-t2","plant-t3","plant-t4","plant-v1","plant-v2","plant-v3","plant-v4","plant-x1","plant-x2","plant-x3","plant-x4","plant-y1","plant-y2","plant-y3","plant-y4"
"c3fb4663ecc377dfe905622fb188cf8b",0,0,0,0,283,216,174,239,348,319,231,124,0,0,0,0,0,0,0,0,0,0,0,0,162,89,70,188,344,343,226,179,106,80,76,105,401,198,272,242,150,0,67,128,131,119,57,77
"5dd6122d34f28c578ffb43b19213a0e5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1450,1562,521,272,0,0,0,0,531,350,758,259,0,0,0,0
"3caec4fc5bbc852c0567f0ad973aa8b0",105,0,63,93,0,0,0,0,0,0,0,0,296,188,275,329,69,0,57,0,231,472,272,253,509,0,66,89,195,201,281,285,0,0,0,0,480,213,211,456,0,0,0,0,0,0,0,0
"c05f90d9b203e6ec214d44c6696effa3",0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1597,1152,437,249,0,0,0,0,955,326,405,537,0,0,0,0
"aa24233c34060c48a6f687f1e52d5bc5",847,486,742,741,0,0,0,0,0,0,0,0,0,0,0,0,505,639,622,510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,0,92,0,0,136,183,0
"25c5ecc0b39b8b1fe983cf1728cc1db6",1182,113,132,195,32,129,122,624,664,276,0,58,75,0,0,44,53,0,142,82,66,0,61,0,164,64,0,0,0,0,0,0,0,0,73,22,50,99,0,0,61,0,124,275,0,51,306,258
"e115e856f279cb3a175b231b8d70dc4c",0,0,0,0,0,0,0,0,0,0,0,0,69,0,108,0,0,0,0,0,0,0,65,112,0,0,0,0,0,0,0,0,3409,41,76,0,0,0,0,121,0,0,0,0,1579,0,0,0
"8e47dd9c30b92cff03bc9d2df5172e13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2834,84,218,655,0,0,0,0,0,303,1334,140,0,0,0,0
"d23bafd64718bdd173f8582f6cbbfe7d",332,317,455,466,0,0,0,26,0,0,0,0,227,185,188,289,296,368,397,363,217,590,306,250,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,73,125
"cd309aa29126b1b1f85e21676e38e479",364,282,344,281,0,0,0,0,0,0,0,0,268,216,476,313,160,252,288,283,240,683,458,213,135,0,94,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,53,0,0,0,81,0
"5d12e859572fe657e7b2d43079ca359a",0,0,0,0,284,257,143,259,363,276,277,100,0,0,0,0,0,0,0,0,0,0,0,0,174,117,72,231,329,307,247,227,122,81,91,0,349,202,211,255,138,0,0,96,117,117,0,91
"d117bbbd26d26e7a4b5f86d242a48c4f",0,0,0,0,181,186,171,115,924,556,159,166,0,0,0,0,0,0,0,0,0,0,0,0,201,153,87,395,91,119,120,91,85,97,37,51,147,100,159,62,37,0,107,0,252,293,92,256
"9a50dd2e3b5ea8292988ec25373232bf",108,79,100,167,0,0,0,0,0,0,0,0,593,271,309,506,72,105,149,102,448,805,588,648,139,0,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,55
"0b3b33c74bb4b3148699127000d89261",0,0,0,0,128,207,178,243,218,132,165,136,0,0,0,0,0,0,0,0,0,0,0,0,301,203,208,387,138,147,144,167,150,167,109,119,191,138,138,106,114,0,134,101,206,279,130,247
"a75376268bbb95669ea81188b5a72244",0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1662,600,1252,1397,0,0,0,0,90,0,0,54,0,0,0,0,0,0,0,222,0,51,0,0
"7e6649641d61efbc0174217032d2f7d6",122,0,0,0,56,394,135,1847,134,0,0,848,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,233,83,0,0,0,0,0,0,157,0,109,514,115,217,0,0,160,143
"4c671bd3a8a5b79402c555f3ba64c8a4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2670,61,208,543,0,0,0,0,185,262,1284,135,0,0,0,0
"301b3fd0211dcd8010fb252714439b7a",469,584,551,702,0,0,0,0,0,0,0,0,0,0,132,203,420,500,622,521,130,160,0,191,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,81
"5d298f4cd534c656f4f340d3470ab6ad",567,243,371,371,328,277,260,227,259,134,190,170,36,0,47,59,205,264,400,262,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,70,57,152,60,0,0,73,92,0
