"plant.b1"	"plant.b2"	"plant.b3"	"plant.b4"	"plant.d1"	"plant.d2"	"plant.d3"	"plant.d4"	"plant.f1"	"plant.f2"	"plant.f3"	"plant.f4"	"plant.k1"	"plant.k2"	"plant.k3"	"plant.k4"	"plant.m1"	"plant.m2"	"plant.m3"	"plant.m4"	"plant.p1"	"plant.p2"	"plant.p3"	"plant.p4"	"plant.r1"	"plant.r2"	"plant.r3"	"plant.r4"	"plant.s1"	"plant.s2"	"plant.s3"	"plant.s4"	"plant.t1"	"plant.t2"	"plant.t3"	"plant.t4"	"plant.v1"	"plant.v2"	"plant.v3"	"plant.v4"	"plant.x1"	"plant.x2"	"plant.x3"	"plant.x4"	"plant.y1"	"plant.y2"	"plant.y3"	"plant.y4"
"ASV72"	66	128	77	54	0	132	66	152	146	0	89	0	196	128	228	378	104	69	87	0	162	479	245	204	108	84	119	141	134	190	241	223	99	0	255	40	312	162	151	467	0	0	0	0	0	0	0	0
"ASV75"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1450	1562	521	272	0	0	0	0	531	350	758	259	0	0	0	0
"ASV76"	105	0	63	93	0	0	0	0	0	0	0	0	296	188	275	329	69	0	57	0	231	472	272	253	509	0	66	89	195	201	281	285	0	0	0	0	480	213	211	456	0	0	0	0	0	0	0	0
"ASV77"	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1597	1152	437	249	0	0	0	0	955	326	405	537	0	0	0	0
"ASV79"	1182	113	132	195	32	129	122	624	664	276	0	58	75	0	0	44	53	0	142	82	66	0	61	0	164	64	0	0	0	0	0	0	0	0	73	22	50	99	0	0	61	0	124	275	0	51	306	258
"ASV80"	0	0	0	0	0	0	0	0	0	0	0	0	69	0	108	0	0	0	0	0	0	0	65	112	0	0	0	0	0	0	0	0	3409	41	76	0	0	0	0	121	0	0	0	0	1579	0	0	0
"ASV82"	332	317	455	466	0	0	0	26	0	0	0	0	227	185	188	289	296	368	397	363	217	590	306	250	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	73	125
"ASV83"	364	282	344	281	0	0	0	0	0	0	0	0	268	216	476	313	160	252	288	283	240	683	458	213	135	0	94	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	53	0	0	0	81	0
"ASV88"	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1662	600	1252	1397	0	0	0	0	90	0	0	54	0	0	0	0	0	0	0	222	0	51	0	0
"ASV89"	122	0	0	0	56	394	135	1847	134	0	0	848	0	0	0	0	0	82	0	0	0	0	0	0	0	0	0	0	0	0	233	83	0	0	0	0	0	0	157	0	109	514	115	217	0	0	160	143
"ASV91"	469	584	551	702	0	0	0	0	0	0	0	0	0	0	132	203	420	500	622	521	130	160	0	191	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	81
"ASV92"	567	243	371	371	328	277	260	227	259	134	190	170	36	0	47	59	205	264	400	262	0	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	0	0	70	57	152	60	0	0	73	92	0
