"taxon" "structural_zero (Microcompartment = Endosphere)" "structural_zero (Microcompartment = Phyllosphere)" "structural_zero (Microcompartment = Rhizosphere)"
"278" "Fibrella" TRUE TRUE FALSE
"279" "Fictibacillus" FALSE FALSE FALSE
"280" "Filomicrobium" TRUE FALSE FALSE
"281" "Fimbriiglobus" TRUE TRUE FALSE
"282" "Flaviaesturariibacter" TRUE FALSE FALSE
"283" "Flavihumibacter" FALSE FALSE FALSE
"284" "Flavimaricola" TRUE FALSE TRUE
"285" "Flavisolibacter" FALSE FALSE FALSE
"286" "Flavitalea" TRUE FALSE FALSE
"287" "Flavobacterium" FALSE FALSE FALSE
"288" "Flindersiella" TRUE FALSE TRUE
"289" "Fluviicola" FALSE FALSE FALSE
"290" "Fontibacillus" FALSE TRUE TRUE
"291" "Fonticella" FALSE FALSE FALSE
"292" "Fontimonas" FALSE FALSE FALSE
"293" "Frateuria" TRUE TRUE FALSE
"294" "Frondihabitans" TRUE FALSE FALSE
"295" "FukuN57" FALSE TRUE FALSE
"296" "Fulvivirga" TRUE FALSE TRUE
"297" "Fusobacterium" FALSE TRUE TRUE
"298" "Ga0074140" TRUE FALSE FALSE
"299" "Gaiella" FALSE FALSE FALSE
"300" "Galbitalea" TRUE FALSE TRUE
"301" "Garciella" FALSE FALSE FALSE
"302" "Geminicoccus" TRUE FALSE FALSE
"303" "Gemmata" FALSE FALSE FALSE
"304" "Gemmatimonas" FALSE FALSE FALSE
"305" "Geobacillus" FALSE FALSE FALSE
"306" "Geobacter" TRUE FALSE FALSE
"307" "Geodermatophilus" TRUE FALSE FALSE
"308" "Geomicrobium" TRUE FALSE TRUE
"309" "Georgfuchsia" FALSE TRUE FALSE
"310" "Geotalea" TRUE FALSE TRUE
"311" "Glutamicibacter" TRUE TRUE FALSE
"312" "Glycomyces" TRUE FALSE FALSE
"313" "Gordonia" TRUE FALSE FALSE
"314" "Gracilibacillus" FALSE FALSE FALSE
"315" "Granulicatella" FALSE TRUE TRUE
"316" "Gryllotalpicola" TRUE TRUE FALSE
"317" "Gulosibacter" TRUE FALSE TRUE
"318" "Haliangium" FALSE FALSE FALSE
"319" "Haliscomenobacter" TRUE FALSE FALSE
"320" "Haloactinopolyspora" FALSE FALSE FALSE
"321" "Halobacillus" FALSE FALSE FALSE
"322" "Halocella" FALSE FALSE FALSE
"323" "Haloimpatiens" TRUE FALSE TRUE
"324" "Halomonas" FALSE FALSE FALSE
"325" "Haloplasma" FALSE FALSE FALSE
"326" "Hamadaea" TRUE FALSE TRUE
"327" "Hassallia" FALSE FALSE FALSE
"328" "Hathewaya" TRUE FALSE TRUE
"329" "HdN1" FALSE FALSE FALSE
"330" "Hephaestia" TRUE TRUE FALSE
"331" "Herbinix" FALSE FALSE FALSE
"332" "Herpetosiphon" FALSE FALSE FALSE
"333" "Hirschia" FALSE FALSE FALSE
"334" "HN-HF0106" FALSE FALSE FALSE
"335" "Holophaga" TRUE FALSE TRUE
"336" "HTCC5015" TRUE FALSE TRUE
"337" "Humibacillus" TRUE TRUE FALSE
"338" "Hungateiclostridium" FALSE TRUE FALSE
"339" "Hydrogenophaga" FALSE FALSE FALSE
"340" "Hydrogenophilus" TRUE FALSE TRUE
"341" "Hylemonella" TRUE FALSE FALSE
"342" "Hymenobacter" TRUE TRUE FALSE
"343" "Hyphomicrobium" FALSE FALSE FALSE
"344" "Hyphomonas" TRUE TRUE FALSE
"345" "Iamia" FALSE FALSE FALSE
"346" "Idiomarina" TRUE TRUE FALSE
"347" "Ignavibacterium" TRUE FALSE FALSE
"348" "Ilumatobacter" FALSE FALSE FALSE
"349" "IMCC26207" FALSE FALSE FALSE
"350" "Imperialibacter" FALSE FALSE FALSE
"351" "Incertae Sedis" FALSE FALSE FALSE
"352" "Incertae Sedis_1" TRUE FALSE FALSE
"353" "Inhella" FALSE FALSE FALSE
"354" "Inquilinus" TRUE FALSE FALSE
"355" "Intrasporangium" FALSE FALSE FALSE
"356" "Irregularibacter" TRUE FALSE FALSE
"357" "IS-44" TRUE FALSE FALSE
"358" "Isoptericola" TRUE FALSE TRUE
"359" "Jahnella" TRUE FALSE FALSE
"360" "Janthinobacterium" TRUE FALSE FALSE
"361" "Jatrophihabitans" TRUE FALSE TRUE
"362" "JCM 18997" TRUE FALSE TRUE
"363" "JdFR-76" TRUE TRUE FALSE
"364" "Jeotgalibacillus" FALSE FALSE FALSE
"365" "JTB255 marine benthic group" TRUE FALSE FALSE
"366" "Kaistia" FALSE FALSE FALSE
"367" "KD3-10" TRUE FALSE FALSE
"368" "Keratinibaculum" TRUE FALSE FALSE
"369" "Ketobacter" FALSE FALSE FALSE
"370" "Klebsiella" TRUE FALSE FALSE
"371" "Klenkia" FALSE TRUE FALSE
"372" "Klugiella" TRUE FALSE TRUE
"373" "Knoellia" TRUE FALSE FALSE
"374" "Kocuria" FALSE TRUE TRUE
"375" "Kribbella" FALSE FALSE FALSE
"376" "Kroppenstedtia" FALSE FALSE FALSE
"377" "Kurthia" TRUE FALSE TRUE
"378" "Labrys" TRUE FALSE FALSE
"379" "Laceyella" TRUE FALSE FALSE
"380" "Lachnospiraceae NK3A20 group" TRUE FALSE TRUE
"381" "Lachnotalea" TRUE FALSE TRUE
"382" "Lacibacter" FALSE FALSE FALSE
"383" "Lacibacterium" TRUE TRUE FALSE
"384" "Lacihabitans" TRUE FALSE FALSE
"385" "Lactobacillus" TRUE FALSE TRUE
"386" "Lapillicoccus" TRUE FALSE TRUE
"387" "Larkinella" FALSE TRUE FALSE
"388" "Lautropia" TRUE FALSE FALSE
"389" "Lawsonella" FALSE FALSE TRUE
"390" "Lechevalieria" FALSE FALSE FALSE
"391" "Legionella" FALSE FALSE FALSE
"392" "Leptospirillum" TRUE FALSE TRUE
"393" "Leucobacter" TRUE FALSE TRUE
"394" "Leuconostoc" TRUE FALSE TRUE
"395" "Lihuaxuella" TRUE FALSE TRUE
"396" "Limibaculum" TRUE FALSE FALSE
"397" "Limnobacter" FALSE FALSE FALSE
"398" "Limnochorda" FALSE FALSE FALSE
